timestep,consumption_eur,consumption_sib,price_eur,price_sib
2006-09-01 00:00,62341,17916,275.22,0.00
2006-09-01 01:00,60625,17467,0.00,0.00
2006-09-01 02:00,59685,17161,0.00,0.00
2006-09-01 03:00,59500,17061,0.00,0.00
2006-09-01 04:00,60617,17074,0.00,0.00
2006-09-01 05:00,62262,17273,29.96,0.00
2006-09-01 06:00,64503,17625,343.73,0.00
2006-09-01 07:00,68316,18074,440.01,0.00
2006-09-01 08:00,71802,18698,462.64,0.00
2006-09-01 09:00,73390,19195,471.93,0.00
2006-09-01 10:00,73814,19482,485.33,0.00
2006-09-01 11:00,73548,19525,469.21,0.00
2006-09-01 12:00,72991,19353,486.96,0.00
2006-09-01 13:00,73472,19293,548.62,0.00
2006-09-01 14:00,73072,19355,546.23,0.00
2006-09-01 15:00,72058,19308,545.57,0.00
2006-09-01 16:00,71257,19143,549.21,0.00
2006-09-01 17:00,70177,19088,497.24,0.00
2006-09-01 18:00,69913,19095,432.99,0.00
2006-09-01 19:00,70752,19134,444.95,0.00
2006-09-01 20:00,72906,19421,458.19,0.00
2006-09-01 21:00,72680,19767,472.21,0.00
2006-09-01 22:00,69211,19585,503.33,0.00
2006-09-01 23:00,65985,18736,427.16,0.00
2006-09-02 00:00,62377,17902,372.13,0.00
2006-09-02 01:00,60784,17415,331.63,0.00
2006-09-02 02:00,59588,17162,0.00,0.00
2006-09-02 03:00,59107,17056,0.00,0.00
2006-09-02 04:00,59100,17026,0.00,0.00
2006-09-02 05:00,60272,17015,24.47,0.00
2006-09-02 06:00,60734,17224,0.00,0.00
2006-09-02 07:00,62203,17452,324.74,0.00
2006-09-02 08:00,64702,17831,335.53,0.00
2006-09-02 09:00,67110,18466,413.42,0.00
2006-09-02 10:00,67762,18698,428.21,0.00
2006-09-02 11:00,67284,18676,370.49,0.00
2006-09-02 12:00,67513,18584,454.63,0.00
2006-09-02 13:00,66688,18620,395.69,0.00
2006-09-02 14:00,66832,18569,447.36,0.00
2006-09-02 15:00,66552,18466,475.13,0.00
2006-09-02 16:00,66454,18361,474.36,0.00
2006-09-02 17:00,66106,18453,445.71,0.00
2006-09-02 18:00,66473,18517,443.75,0.00
2006-09-02 19:00,67565,18697,447.25,0.00
2006-09-02 20:00,70041,19013,470.86,0.00
2006-09-02 21:00,70157,19355,541.12,0.00
2006-09-02 22:00,66949,19267,475.93,0.00
2006-09-02 23:00,63389,18411,430.72,0.00
2006-09-03 00:00,61034,17828,0.00,0.00
2006-09-03 01:00,59461,17419,0.00,0.00
2006-09-03 02:00,58351,17130,0.00,0.00
2006-09-03 03:00,57847,16980,0.00,0.00
2006-09-03 04:00,58300,16926,0.00,0.00
2006-09-03 05:00,58594,17007,0.00,0.00
2006-09-03 06:00,59289,17184,0.00,0.00
2006-09-03 07:00,59575,17415,0.00,0.00
2006-09-03 08:00,61790,17652,0.00,0.00
2006-09-03 09:00,63608,18066,0.00,0.00
2006-09-03 10:00,64716,18323,333.75,0.00
2006-09-03 11:00,64639,18360,333.47,0.00
2006-09-03 12:00,64592,18384,339.14,0.00
2006-09-03 13:00,64580,18373,354.12,0.00
2006-09-03 14:00,64318,18384,348.74,0.00
2006-09-03 15:00,64458,18368,350.55,0.00
2006-09-03 16:00,64684,18372,365.80,0.00
2006-09-03 17:00,65322,18456,364.68,0.00
2006-09-03 18:00,65954,18588,379.49,0.00
2006-09-03 19:00,67277,18749,388.73,0.00
2006-09-03 20:00,69808,19146,488.00,18.86
2006-09-03 21:00,70250,19531,514.92,276.99
2006-09-03 22:00,66733,19397,375.61,242.27
2006-09-03 23:00,64017,18487,367.05,0.00
2006-09-04 00:00,61505,17932,398.00,0.00
2006-09-04 01:00,59967,17460,0.00,0.00
